name,Date,Ptot_HEI_5RNS_Forecast_Max,Ptot_HEI_5RNS_Forecast_Min,Ptot_HEI_5RNS_Forecast_Moy,Ptot_RIZOMM_PV_Forecast_Max,Ptot_RIZOMM_PV_Forecast_Min,Ptot_RIZOMM_PV_Forecast_Moy
PV_Prevision_Data,2025-06-01T00:10:00,2,2,2,0,0,0
PV_Prevision_Data,2025-06-01T00:20:00,1,1,1,0,0,0
PV_Prevision_Data,2025-06-01T00:30:00,1,1,1,0,0,0
PV_Prevision_Data,2025-06-01T00:40:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T00:50:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T01:00:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T01:10:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T01:20:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T01:30:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T01:40:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T01:50:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T02:00:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T02:10:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T02:20:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T02:30:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T02:40:00,1,1,1,0,0,0
PV_Prevision_Data,2025-06-01T02:50:00,2,2,2,0,0,0
PV_Prevision_Data,2025-06-01T03:00:00,2,2,2,0,0,0
PV_Prevision_Data,2025-06-01T03:10:00,1,1,1,0,0,0
PV_Prevision_Data,2025-06-01T03:20:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T03:30:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T03:40:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T03:50:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T04:00:00,0,0,0,0,0,0
PV_Prevision_Data,2025-06-01T04:10:00,70,14,32,1100,7,201
PV_Prevision_Data,2025-06-01T04:20:00,185,34,80,2331,510,953
PV_Prevision_Data,2025-06-01T04:30:00,266,66,145,3120,998,1624
PV_Prevision_Data,2025-06-01T04:40:00,493,121,269,4629,1402,2833
PV_Prevision_Data,2025-06-01T04:50:00,820,203,383,6246,2000,3906
PV_Prevision_Data,2025-06-01T05:00:00,1267,286,523,8994,2659,4798
PV_Prevision_Data,2025-06-01T05:10:00,1618,353,671,10741,3364,5770
PV_Prevision_Data,2025-06-01T05:20:00,2043,420,870,13693,4018,6955
PV_Prevision_Data,2025-06-01T05:30:00,1227,915,1119,6844,5173,6150
PV_Prevision_Data,2025-06-01T05:40:00,1501,1103,1313,8739,6305,7616
PV_Prevision_Data,2025-06-01T05:50:00,1858,1264,1548,10448,7536,9267
PV_Prevision_Data,2025-06-01T06:00:00,2259,1465,1862,12758,8990,10527
PV_Prevision_Data,2025-06-01T06:10:00,2826,1520,2097,17370,9236,11562
PV_Prevision_Data,2025-06-01T06:20:00,3537,1576,2354,23990,9485,12963
PV_Prevision_Data,2025-06-01T06:30:00,4253,1653,2618,29927,9739,14698
PV_Prevision_Data,2025-06-01T06:40:00,5331,1718,2973,36017,9905,16521
PV_Prevision_Data,2025-06-01T06:50:00,6373,1773,3359,41169,10082,18581
PV_Prevision_Data,2025-06-01T07:00:00,7416,1866,3808,46566,10387,20698
PV_Prevision_Data,2025-06-01T07:10:00,8118,1931,4190,50116,10636,22678
PV_Prevision_Data,2025-06-01T07:20:00,8885,2029,4626,53949,11001,25002
PV_Prevision_Data,2025-06-01T07:30:00,3730,2629,3248,16707,11246,14528
PV_Prevision_Data,2025-06-01T07:40:00,4378,2599,3557,19103,11044,15939
PV_Prevision_Data,2025-06-01T07:50:00,5004,2604,3868,22101,11030,16992
PV_Prevision_Data,2025-06-01T08:00:00,5705,2667,4260,27035,11199,18447
PV_Prevision_Data,2025-06-01T08:10:00,6875,2776,4762,35451,12245,21360
PV_Prevision_Data,2025-06-01T08:20:00,8217,2964,5366,44630,13743,26317
PV_Prevision_Data,2025-06-01T08:30:00,9601,3134,5965,53645,14564,30451
PV_Prevision_Data,2025-06-01T08:40:00,11043,3552,6794,63634,16639,35491
PV_Prevision_Data,2025-06-01T08:50:00,11896,3982,7670,67178,19259,41062
PV_Prevision_Data,2025-06-01T09:00:00,12673,4496,8597,71173,22591,46989
PV_Prevision_Data,2025-06-01T09:10:00,13170,4700,9058,73724,24000,49864
PV_Prevision_Data,2025-06-01T09:20:00,13766,4993,9575,76677,25915,52735
PV_Prevision_Data,2025-06-01T09:30:00,9149,6606,7849,48497,33832,41204
PV_Prevision_Data,2025-06-01T09:40:00,10417,7246,8818,57075,38026,47326
PV_Prevision_Data,2025-06-01T09:50:00,11524,7885,9773,63534,42580,53040
PV_Prevision_Data,2025-06-01T10:00:00,12540,8591,10743,68817,47500,58782
PV_Prevision_Data,2025-06-01T10:10:00,13081,8266,10935,72940,45641,59870
PV_Prevision_Data,2025-06-01T10:20:00,13745,8035,11238,76201,44108,61382
PV_Prevision_Data,2025-06-01T10:30:00,14413,7817,11539,79471,42621,62885
PV_Prevision_Data,2025-06-01T10:40:00,14963,7689,11688,82243,41708,63686
PV_Prevision_Data,2025-06-01T10:50:00,15514,7561,11837,85024,40833,64495
PV_Prevision_Data,2025-06-01T11:00:00,16187,7505,12069,88297,40239,65618
PV_Prevision_Data,2025-06-01T11:10:00,16333,7432,12097,89095,39987,65840
PV_Prevision_Data,2025-06-01T11:20:00,16576,7432,12238,90289,39987,66506
PV_Prevision_Data,2025-06-01T11:30:00,16845,7461,12387,91599,40165,67449
PV_Prevision_Data,2025-06-01T11:40:00,16993,7652,12562,92429,41543,69524
PV_Prevision_Data,2025-06-01T11:50:00,17142,7871,12706,93260,43123,70888
PV_Prevision_Data,2025-06-01T12:00:00,17292,8094,12877,94099,44724,72422
PV_Prevision_Data,2025-06-01T12:10:00,17447,8111,12946,94990,45027,73166
PV_Prevision_Data,2025-06-01T12:20:00,17629,8127,13010,96008,45329,73598
PV_Prevision_Data,2025-06-01T12:30:00,17908,8245,13196,97381,46080,74534
PV_Prevision_Data,2025-06-01T12:40:00,18004,8068,13149,97878,44953,74337
PV_Prevision_Data,2025-06-01T12:50:00,18131,7891,13102,98424,43824,74139
PV_Prevision_Data,2025-06-01T13:00:00,18259,7713,13081,98735,42712,74068
PV_Prevision_Data,2025-06-01T13:10:00,18144,7450,12903,97996,41060,73231
PV_Prevision_Data,2025-06-01T13:20:00,18030,7187,12726,97180,39416,72405
PV_Prevision_Data,2025-06-01T13:30:00,18044,6996,12645,96602,38112,71964
PV_Prevision_Data,2025-06-01T13:40:00,17768,6645,12359,95235,36027,70650
PV_Prevision_Data,2025-06-01T13:50:00,17517,6298,12099,93992,33972,69452
PV_Prevision_Data,2025-06-01T14:00:00,17370,6060,11935,92842,32463,68637
PV_Prevision_Data,2025-06-01T14:10:00,17198,5866,11759,91351,31358,67846
PV_Prevision_Data,2025-06-01T14:20:00,17053,5674,11584,89941,30330,67040
PV_Prevision_Data,2025-06-01T14:30:00,16915,5510,11411,88464,29466,66249
PV_Prevision_Data,2025-06-01T14:40:00,16753,5354,11227,86610,28847,65497
PV_Prevision_Data,2025-06-01T14:50:00,16596,5199,11042,84660,28229,64741
PV_Prevision_Data,2025-06-01T15:00:00,16445,5071,10857,82963,27756,63984
PV_Prevision_Data,2025-06-01T15:10:00,16135,4862,10570,81144,26853,62751
PV_Prevision_Data,2025-06-01T15:20:00,15840,4687,10315,79891,26115,61646
PV_Prevision_Data,2025-06-01T15:30:00,15670,4580,10161,79765,25592,60938
PV_Prevision_Data,2025-06-01T15:40:00,15171,4313,9766,77790,24229,59015
PV_Prevision_Data,2025-06-01T15:50:00,14681,4050,9372,75933,22884,57100
PV_Prevision_Data,2025-06-01T16:00:00,14340,3858,9070,75291,21769,55529
PV_Prevision_Data,2025-06-01T16:10:00,13706,3580,8619,73018,20688,53175
